INFO  - 2017-10-25 09:42:49.350; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-10-25 09:42:49.350; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-10-25 09:42:49.350; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-10-25 09:42:49.350; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-10-25 09:42:49.354; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.354; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.356; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-10-25 09:42:49.356; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.356; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2017-10-25 09:42:49.357; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-10-25 09:42:49.357; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-10-25 09:42:49.357; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-10-25 09:42:49.358; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-10-25 09:42:49.358; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-10-25 09:42:49.359; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-10-25 09:42:49.359; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-10-25 09:42:49.359; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-10-25 09:42:49.360; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-10-25 09:42:49.362; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-10-25 09:42:49.364; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-10-25 09:42:49.371; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-10-25 09:42:49.371; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.371; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.371; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.371; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.371; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.372; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.372; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.372; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-10-25 09:42:49.382; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-10-25 09:42:49.383; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-10-25 09:42:49.384; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-10-25 09:42:49.384; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-10-25 09:42:49.385; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-10-25 09:42:49.395; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-10-25 09:42:49.396; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-10-25 09:42:49.401; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/nsparks/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/nsparks/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-10-25 09:42:49.401; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-10-25 09:42:49.406; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@76ee4dbc[collection1] main
INFO  - 2017-10-25 09:42:49.411; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/nsparks/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-10-25 09:42:49.411; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/nsparks/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2017-10-25 09:42:49.412; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/nsparks/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-10-25 09:42:49.416; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/nsparks/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-10-25 09:42:49.416; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2017-10-25 09:42:49.416; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2017-10-25 09:42:49.417; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/home/nsparks/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-10-25 09:42:49.417; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/home/nsparks/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-10-25 09:42:49.418; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2017-10-25 09:42:49.418; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2017-10-25 09:42:49.418; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2017-10-25 09:42:49.418; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/home/nsparks/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-10-25 09:42:49.419; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/home/nsparks/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-10-25 09:42:49.419; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2017-10-25 09:42:49.419; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2017-10-25 09:42:49.421; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2017-10-25 09:42:49.421; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-10-25 09:42:49.426; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-10-25 09:42:49.430; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-10-25 09:42:49.432; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/nsparks/solr-4.10.4/example/solr/collection1/conf/elevate.xml
INFO  - 2017-10-25 09:42:49.452; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-10-25 09:42:49.452; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@76ee4dbc[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-10-25 09:42:49.452; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2017-10-25 09:42:49.454; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/nsparks/solr-4.10.4/example
INFO  - 2017-10-25 09:42:49.454; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-10-25 09:42:49.475; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2017-10-25 09:42:49.491; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=38 
INFO  - 2017-10-25 09:42:49.491; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2017-10-25 09:42:49.492; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2017-10-25 09:42:49.492; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
